Time      x1      y1      z1	x2	y2	z2	x3	y3	z3	x4	y4	z4
51.625	-1.78843	0.984203	0.14927	-1.78052	1.2659	0.146174	-2.17947	1.28575	0.1533
51.808	-1.78752	0.984127	0.149772	-1.77956	1.26598	0.146703	-2.17867	1.2859	0.153369
51.999	-1.78602	0.984103	0.15001	-1.77802	1.26595	0.146897	-2.17734	1.28563	0.153237
52.178	-1.78434	0.983791	0.149664	-1.77592	1.26594	0.146129	-2.1751	1.28587	0.153384
52.371	-1.78267	0.983673	0.149349	-1.77416	1.26552	0.14563	-2.17378	1.28573	0.153781
52.562	-1.78099	0.98366	0.14981	-1.77222	1.26551	0.145963	-2.17215	1.28534	0.153621
52.78	-1.77885	0.983491	0.149406	-1.77037	1.26554	0.146008	-2.17046	1.28583	0.153909
52.933	-1.77661	0.983431	0.149655	-1.76853	1.26542	0.14667	-2.16852	1.28576	0.154662
53.183	-1.77492	0.98345	0.150264	-1.76686	1.2653	0.147015	-2.16663	1.28557	0.154412
53.349	-1.77152	0.983248	0.150069	-1.76438	1.26562	0.14784	-2.16289	1.28518	0.15385
53.457	-1.77016	0.983152	0.149828	-1.76289	1.2655	0.14753	-2.16167	1.28497	0.15375
53.662	-1.76621	0.982912	0.150026	-1.75828	1.26498	0.14684	-2.15748	1.28469	0.154368
53.941	-1.76344	0.982778	0.150175	-1.75591	1.26485	0.147235	-2.15508	1.28446	0.154689
54.215	-1.75933	0.982738	0.150276	-1.75134	1.26446	0.146487	-2.15072	1.2846	0.153945
54.457	-1.75595	0.982643	0.150155	-1.7475	1.26419	0.146285	-2.14726	1.28464	0.153807
54.654	-1.7529	0.982525	0.150319	-1.74409	1.26424	0.146379	-2.1438	1.28486	0.154406
54.884	-1.74931	0.982461	0.150661	-1.74059	1.26435	0.146496	-2.14015	1.28539	0.155467
55.173	-1.74539	0.982237	0.150562	-1.73683	1.2641	0.146068	-2.13368	1.28504	0.154144
55.383	-1.74034	0.982251	0.150221	-1.73216	1.26371	0.146717	-2.13093	1.28451	0.154666
55.6	-1.73621	0.982232	0.150832	-1.72768	1.26386	0.146797	-2.12616	1.28476	0.155275
55.781	-1.73144	0.981862	0.150007	-1.72389	1.26386	0.147203	-2.12206	1.28472	0.15566
55.991	-1.72712	0.981722	0.15025	-1.71872	1.26341	0.146206	-2.11749	1.2844	0.155353
56.254	-1.72239	0.981674	0.150501	-1.71419	1.26335	0.146296	-2.11319	1.28434	0.156328
56.495	-1.71743	0.981608	0.150599	-1.70906	1.26321	0.146345	-2.10805	1.28427	0.156245
56.698	-1.71241	0.981426	0.150609	-1.70452	1.26314	0.147445	-2.10104	1.28409	0.154328
56.866	-1.70578	0.981304	0.151157	-1.69779	1.26296	0.147142	-2.09618	1.28375	0.155059
57.148	-1.70164	0.981334	0.151426	-1.69372	1.26277	0.146637	-2.09252	1.28386	0.155812
57.389	-1.694	0.98092	0.151017	-1.68602	1.26293	0.146673	-2.08479	1.28313	0.155471
57.624	-1.68768	0.980586	0.150658	-1.67985	1.26278	0.146956	-2.07904	1.28296	0.155658
57.879	-1.68141	0.980512	0.15074	-1.67359	1.26268	0.146667	-2.0724	1.28225	0.155031
58.125	-1.67467	0.979836	0.150568	-1.66757	1.26253	0.147832	-2.06614	1.28177	0.155141
58.329	-1.66613	0.979692	0.150732	-1.65875	1.26203	0.147293	-2.05771	1.28148	0.155092
58.543	-1.65875	0.979865	0.15076	-1.6518	1.26172	0.147305	-2.05073	1.28107	0.154657
58.776	-1.65175	0.979767	0.151167	-1.64554	1.26203	0.14891	-2.04349	1.28064	0.154886
58.995	-1.6444	0.978859	0.150877	-1.63806	1.26105	0.148063	-2.03611	1.28073	0.15591
59.202	-1.63672	0.978839	0.1506	-1.62966	1.26087	0.147083	-2.0287	1.28007	0.155378
59.497	-1.62886	0.97878	0.150944	-1.62164	1.26057	0.147136	-2.02057	1.2796	0.154808
59.652	-1.61875	0.978477	0.151344	-1.61131	1.26039	0.147573	-2.01055	1.27905	0.154542
